property_id,address,suburb,postcode,state,property_type,bedrooms,bathrooms,parking,land_size_sqm,price,sale_date,suburb_median_price_index,cash_rate_at_sale,is_seed_data,suburb_mean_price
914e45ff-2699-476d-a039-0130ba0d4e0a,18 Union Street,South Lismore,2480,NSW,house,0,0,0,208.00,105000.00,2024-04-12,,4.3500,f,105000.00
914e45ff-2699-476d-a039-0130ba0d4e0a,18 Union Street,South Lismore,2480,NSW,house,0,0,0,208.00,105000.00,2024-04-12,,4.3500,f,430000.00
914e45ff-2699-476d-a039-0130ba0d4e0a,18 Union Street,South Lismore,2480,NSW,house,0,0,0,208.00,105000.00,2024-04-12,,4.3500,f,420000.00
914e45ff-2699-476d-a039-0130ba0d4e0a,18 Union Street,South Lismore,2480,NSW,house,0,0,0,208.00,105000.00,2024-04-12,,4.3500,f,480000.00
914e45ff-2699-476d-a039-0130ba0d4e0a,18 Union Street,South Lismore,2480,NSW,house,0,0,0,208.00,105000.00,2024-04-12,,4.3500,f,545000.00
239e973c-c29e-4ff2-93ce-fba245bff286,184 Zebina Street,Broken Hill,2880,NSW,house,2,1,1,276.00,116000.00,2026-07-28,,4.3500,f,345000.00
239e973c-c29e-4ff2-93ce-fba245bff286,184 Zebina Street,Broken Hill,2880,NSW,house,2,1,1,276.00,116000.00,2026-07-28,,4.3500,f,200000.00
239e973c-c29e-4ff2-93ce-fba245bff286,184 Zebina Street,Broken Hill,2880,NSW,house,2,1,1,276.00,116000.00,2026-07-28,,4.3500,f,345000.00
c73b4842-ab31-4170-b671-4fdd9f97a415,2 Barden,Gilgandra,2827,NSW,other,1,0,0,209.00,120000.00,2026-06-10,,4.3500,f,120000.00
c73b4842-ab31-4170-b671-4fdd9f97a415,2 Barden,Gilgandra,2827,NSW,other,1,0,0,209.00,120000.00,2026-06-10,,4.3500,f,100000.00
c73b4842-ab31-4170-b671-4fdd9f97a415,2 Barden,Gilgandra,2827,NSW,other,1,0,0,209.00,120000.00,2026-06-10,,4.3500,f,342750.00
c73b4842-ab31-4170-b671-4fdd9f97a415,2 Barden,Gilgandra,2827,NSW,other,1,0,0,209.00,120000.00,2026-06-10,,4.3500,f,320000.00
978f5862-6cd3-49d6-a720-3fff0631064f,535 Beryl Street,Broken Hill,2880,NSW,house,3,1,0,284.00,128000.00,2026-07-28,,4.3500,f,345000.00
978f5862-6cd3-49d6-a720-3fff0631064f,535 Beryl Street,Broken Hill,2880,NSW,house,3,1,0,284.00,128000.00,2026-07-28,,4.3500,f,200000.00
978f5862-6cd3-49d6-a720-3fff0631064f,535 Beryl Street,Broken Hill,2880,NSW,house,3,1,0,284.00,128000.00,2026-07-28,,4.3500,f,345000.00
7d7bac8f-26fc-404b-89c1-262dc7a4a159,8 Bridge Street,Gilgandra,2827,NSW,house,1,1,0,278.00,135000.00,2026-07-28,,4.3500,f,342750.00
7d7bac8f-26fc-404b-89c1-262dc7a4a159,8 Bridge Street,Gilgandra,2827,NSW,house,1,1,0,278.00,135000.00,2026-07-28,,4.3500,f,320000.00
7d7bac8f-26fc-404b-89c1-262dc7a4a159,8 Bridge Street,Gilgandra,2827,NSW,house,1,1,0,278.00,135000.00,2026-07-28,,4.3500,f,100000.00
7d7bac8f-26fc-404b-89c1-262dc7a4a159,8 Bridge Street,Gilgandra,2827,NSW,house,1,1,0,278.00,135000.00,2026-07-28,,4.3500,f,120000.00
6badd889-9361-435a-bbc5-f8063e0df367,233 Chapple Street,Broken Hill,2880,NSW,house,2,1,2,253.00,167000.00,2026-07-28,,4.3500,f,345000.00
6badd889-9361-435a-bbc5-f8063e0df367,233 Chapple Street,Broken Hill,2880,NSW,house,2,1,2,253.00,167000.00,2026-07-28,,4.3500,f,345000.00
6badd889-9361-435a-bbc5-f8063e0df367,233 Chapple Street,Broken Hill,2880,NSW,house,2,1,2,253.00,167000.00,2026-07-28,,4.3500,f,200000.00
406d4b77-a80d-495d-bdd0-e3245229eb78,5/16 Boundary St,Moree,2400,NSW,unit,2,1,1,250.00,190000.00,2025-01-23,,4.3500,f,190000.00
4371f631-2630-4791-a5f5-3a72a7012f48,5/16 Boundary St,Moree,2400,NSW,unit,2,1,1,250.00,190000.00,2025-01-23,,4.3500,f,190000.00
3a0d3c7c-b811-4e2c-b974-d4245c450250,7/61 Regent Street,Moama,2731,NSW,other,1,1,0,200.00,197000.00,2026-07-28,,4.3500,f,
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,606000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,618000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,626750.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,716833.33
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,662100.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,625000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,545000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,706600.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,669375.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,663000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,560000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,781666.67
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,485000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,403500.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,438875.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,542000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,430000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,666000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,410000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,545000.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,572500.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,582500.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,292500.00
d9822518-960f-4745-82f0-ac33d3659f0b,1/388 Parnall Street,Lavington,2641,NSW,unit,2,1,1,236.00,215000.00,2026-07-28,,4.3500,f,242000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,420000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,382199.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,400000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,255000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,500000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,500000.00
